CNA,ErrorCode,ErrorName,ErrorCount
trendmicro,E007,check-invalid-version-string,436
trendmicro,E008,check-invalid-vendor-string,11
trendmicro,E009,check-invalid-product-string,10
twcert,E004,check-leading-trailing-space,25
twcert,E007,check-invalid-version-string,220
vmware,E004,check-leading-trailing-space,38
vmware,E006,check-affected-product-present,1
vmware,E007,check-invalid-version-string,751
vmware,E008,check-invalid-vendor-string,405
vmware,E009,check-invalid-product-string,14
wikimedia-foundation,E007,check-invalid-version-string,7
wolfSSL,E004,check-leading-trailing-space,5
yandex,E007,check-invalid-version-string,26
yandex,E008,check-invalid-vendor-string,14
zdi,E007,check-invalid-version-string,560
zdi,E008,check-invalid-vendor-string,7
zdi,E009,check-invalid-product-string,7
zephyr,E004,check-leading-trailing-space,2
zephyr,E007,check-invalid-version-string,10
zte,E004,check-leading-trailing-space,16
zte,E007,check-invalid-version-string,97
zte,E008,check-invalid-vendor-string,67
