CNA,ErrorCode,ErrorName,ErrorCount
TV,E004,check-leading-trailing-space,1
Temporal,E004,check-leading-trailing-space,3
Teradici,E007,check-invalid-version-string,16
Teradici,E008,check-invalid-vendor-string,20
Teradici,E009,check-invalid-product-string,2
TianoCore,E007,check-invalid-version-string,2
TianoCore,E008,check-invalid-vendor-string,1
Tigera,E004,check-leading-trailing-space,2
Toshiba,E007,check-invalid-version-string,43
Unisoc,E007,check-invalid-version-string,566
VDOO,E007,check-invalid-version-string,10
VDOO,E008,check-invalid-vendor-string,10
VDOO,E009,check-invalid-product-string,2
VULSec,E007,check-invalid-version-string,3
Vaadin,E004,check-leading-trailing-space,1
Vivo,E007,check-invalid-version-string,12
VulDB,E007,check-invalid-version-string,1024
VulDB,E008,check-invalid-vendor-string,797
VulnCheck,E004,check-leading-trailing-space,30
VulnCheck,E007,check-invalid-version-string,2
WDC PSIRT,E004,check-leading-trailing-space,15
WDC PSIRT,E007,check-invalid-version-string,43
WDC PSIRT,E008,check-invalid-vendor-string,1
WDC PSIRT,E009,check-invalid-product-string,1
WPScan,E007,check-invalid-version-string,14
WPScan,E008,check-invalid-vendor-string,11
WPScan,E009,check-invalid-product-string,11
WSO2,E004,check-leading-trailing-space,4
WatchGuard,E004,check-leading-trailing-space,2
WatchGuard,E007,check-invalid-version-string,4
Wordfence,E007,check-invalid-version-string,11
Wordfence,E008,check-invalid-vendor-string,49
XEN,E004,check-leading-trailing-space,15
XEN,E007,check-invalid-version-string,117
XI,E004,check-leading-trailing-space,24
Xerox,E007,check-invalid-version-string,1
Xiaomi,E007,check-invalid-version-string,55
Xiaomi,E008,check-invalid-vendor-string,38
YokogawaGroup,E004,check-leading-trailing-space,1
YokogawaGroup,E007,check-invalid-version-string,9
Yugabyte,E004,check-leading-trailing-space,5
Yugabyte,E007,check-invalid-version-string,1
ZUSO ART,E007,check-invalid-version-string,2
Zabbix,E004,check-leading-trailing-space,2
Zabbix,E007,check-invalid-version-string,26
Zoom,E004,check-leading-trailing-space,8
Zoom,E007,check-invalid-version-string,136
Zoom,E008,check-invalid-vendor-string,9
Zscaler,E004,check-leading-trailing-space,21
